001108112001,1,16734.1718228,Alabama
001108112002,2,27472.7847929,Alabama
001108112003,3,20689.8820412,Alabama
001108112004,4,22077.5989999,Alabama
001108112005,5,12144.795617,Alabama
001108112006,6,12040.3242321,Alabama
001108112007,7,22740.9574426,Alabama
002103112000,0,1524009.6627,Alaska
004109112001,1,152076.100304,Arizona
004109112002,2,52810.8945502,Arizona
004109112003,3,1550.74275689,Arizona
004109112004,4,516.60860001,Arizona
004109112005,5,3684.62019252,Arizona
004109112006,6,1875.15239152,Arizona
004109112007,7,59286.5451221,Arizona
004109112008,8,23457.3282989,Arizona
005108112001,1,45375.0360175,Arkansas
005108112002,2,15656.5350333,Arkansas
005108112003,3,22432.0587063,Arkansas
005108112004,4,54267.5210987,Arkansas
006108112001,1,28942.2126298,California
006108112002,2,56921.4083481,California
006108112003,3,8863.73413153,California
006108112004,4,44440.9757987,California
006108112005,5,388.229183383,California
006108112006,6,4293.25139178,California
006108112007,7,986.399407318,California
006108112008,8,94.8278349355,California
006108112009,9,353.753339062,California
006108112010,10,2809.53418609,California
006108112011,11,5998.54738362,California
006108112012,12,313.466280483,California
006108112013,13,595.239544505,California
006108112014,14,2176.76744429,California
006108112015,15,747.995349102,California
006108112016,16,601.101520194,California
006108112017,17,12465.4864904,California
006108112018,18,8030.51724526,California
006108112019,19,17561.371897,California
006108112020,20,12921.2986336,California
006108112021,21,20952.2383775,California
006108112022,22,27074.257842,California
006108112023,23,2710.71105764,California
006108112024,24,10114.1678536,California
006108112025,25,56003.0893287,California
006108112026,26,1955.28040761,California
006108112027,27,392.587585271,California
006108112028,28,201.732486754,California
006108112029,29,262.922696309,California
006108112030,30,743.177894672,California
006108112031,31,102.741393161,California
006108112032,32,240.132894968,California
006108112033,33,124.99892112,California
006108112034,34,152.767848005,California
006108112035,35,143.874266896,California
006108112036,36,195.654135004,California
006108112037,37,194.331269648,California
006108112038,38,272.093577772,California
006108112039,39,169.806487344,California
006108112040,40,263.299570933,California
006108112041,41,34579.1681112,California
006108112042,42,821.89565884,California
006108112043,43,499.34472923,California
006108112044,44,1367.98106352,California
006108112045,45,15701.3269728,California
006108112046,46,724.135911268,California
006108112047,47,142.388016502,California
006108112048,48,557.542735312,California
006108112049,49,4427.33146366,California
006108112050,50,788.963658477,California
006108112051,51,12678.599257,California
006108112052,52,5515.151534,California
006108112053,53,292.378036138,California
008108112001,1,448.381666401,Colorado
008108112002,2,14669.9444802,Colorado
008108112003,3,140115.768443,Colorado
008108112004,4,80413.8196247,Colorado
008108112005,5,20027.7565282,Colorado
008108112006,6,10647.574828,Colorado
008108112007,7,3275.79813472,Colorado
009108112001,1,1742.18556941,Connecticut
009108112002,2,5409.59118757,Connecticut
009108112003,3,1224.48953143,Connecticut
009108112004,4,1217.5788317,Connecticut
