018113113009,09,11765.4272253,Indiana
019113113001,01,31433.9420509,Iowa
019113113002,02,32189.4337619,Iowa
019113113003,03,22918.7136451,Iowa
019113113004,04,59199.5891422,Iowa
020113113001,01,136676.584573,Kansas
020113113002,02,37159.2043811,Kansas
020113113003,03,1993.06496508,Kansas
020113113004,04,37266.3453428,Kansas
021113113001,01,32512.3858779,Kentucky
021113113002,02,18995.3514079,Kentucky
021113113003,03,870.331955559,Kentucky
021113113004,04,11634.5309849,Kentucky
021113113005,05,29410.4041036,Kentucky
021113113006,06,11238.6171409,Kentucky
022113113001,01,15296.7331091,Louisiana
022113113002,02,3807.24225312,Louisiana
022113113003,03,20196.6320678,Louisiana
022113113004,04,33313.6313838,Louisiana
022113113005,05,38547.6618314,Louisiana
022113113006,06,11362.7670182,Louisiana
023113113001,01,9399.74125011,Maine
023113113002,02,75670.7134484,Maine
024113113001,01,11475.0310878,Maryland
024113113002,02,1052.30565902,Maryland
024113113003,03,836.43120979,Maryland
024113113004,04,819.624925931,Maryland
024113113005,05,4187.64187389,Maryland
024113113006,06,5158.29827982,Maryland
024113113007,07,1278.867108,Maryland
024113113008,08,2252.16744327,Maryland
025113113001,01,6216.11692971,Massachusetts
025113113002,02,4438.15428331,Massachusetts
025113113003,03,2038.878537,Massachusetts
025113113004,04,1817.353039,Massachusetts
025113113005,05,722.821237021,Massachusetts
025113113006,06,1467.54054448,Massachusetts
025113113007,07,181.830738673,Massachusetts
025113113008,08,910.950207148,Massachusetts
025113113009,09,3518.36798308,Massachusetts
026113113001,01,67516.8543351,Michigan
026113113002,02,8856.04093844,Michigan
026113113003,03,6988.45191528,Michigan
026113113004,04,22427.5256507,Michigan
026113113005,05,6221.87205777,Michigan
026113113006,06,9452.37928295,Michigan
026113113007,07,11181.6844971,Michigan
026113113008,08,3992.90629007,Michigan
026113113009,09,480.106122749,Michigan
026113113010,10,10925.5775092,Michigan
026113113011,11,1141.46075185,Michigan
026113113012,12,1094.77026837,Michigan
026113113013,13,484.563784786,Michigan
026113113014,14,500.838635594,Michigan
027113113001,01,31556.8053552,Minnesota
